_id,PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
524,0011J00023000000,108.0, ,GIST ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 18.11X46.47 GIST ST NR 5TH AVE,2 STY BRK HSE 108,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,828,,,,,07-01-2005,07-01-2005,11000.0,H,MULTI-PARCEL SA,12502,125.0,04-05-1988,2000.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,6000,4700,10700,0,6000,4700,10700,6000,4700,10700,12.0,ROW INTERIOR,3.0,1920.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C-,AVERAGE -,8.0,VERY POOR,VP,VERY POOR,5.0,3.0,1.0,0.0,2,Central Heat,0.0,0.0,1764.0,1.0,,2025,01-JUN-25
525,0011J00024000000,106.0, ,GIST ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 18.16X46.47 GIST ST NR 5TH AVE             ,2 STY BRK HSE 106                              ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,844,,,,,01-21-2010,01-21-2010,18000.0,0,VALID SALE,14161,481.0,12-31-1971,0.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,12400,4700,17100,0,12400,4700,17100,12400,4700,17100,11.0,ROW END,3.0,1920.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C-,AVERAGE -,5.0,POOR,PR,POOR,6.0,3.0,2.0,0.0,2,Central Heat,0.0,0.0,1764.0,1.0,,2025,01-JUN-25
533,0011J00043000000,, ,FORBES AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ALEX MILLER PLAN PT 33 LOT 22.7X65X24 RR FORBES, ST                                            ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,100,VACANT LAND,1560,,,,,06-19-2017,06-10-2017,17000.0,14,TIME ON MARKET,16836,29.0,05-23-2016,12000.0,10-26-2012,3566.0,5135   PINA VISTA DR   ,  ,MELBOURNE FL  ,32934.0,0,9200,9200,0,0,9200,9200,0,9200,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
608,0011J00145000000,211.0, ,GIST ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,HAVEN PLAN PLANT PT 9 LOT 20X45 GIST ST,NE COR TUSTIN ST,2 STY BRK HSE 211,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,900,,,,,05-01-2003,05-01-2003,150260.0,H,MULTI-PARCEL SA,11635,505.0,03-12-1993,12000.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,11700,4800,16500,0,11700,4800,16500,11700,4800,16500,11.0,ROW END,2.0,1920.0,2.0,Brick,1.0,SHINGLE,5.0,Full,D,BELOW AVERAGE,5.0,POOR,PR,POOR,4.0,2.0,1.0,0.0,B,Central Heat with AC,1.0,0.0,1080.0,1.0,,2025,01-JUN-25
609,0011J00146000000,207.0, ,GIST ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,HAVEN PLAN LOT 30X40 TUSTIN ST BET GIST & JUMON,VILLE STS                                      ,1 STY BRK GARAGE 1905-1907                     ,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,I,INDUSTRIAL,350,WAREHOUSE,3200,,,,,04-12-2024,03-13-2024,1.0,H,MULTI-PARCEL SA,19636,173.0,12-11-2023,1.0,12-08-1976,40000.0,566   RICH HILL RD   ,  ,APOLLO PA  ,15613.0,11400,64000,75400,0,11400,64000,75400,11400,64000,75400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
648,0002P00120000000,700.0, ,2ND AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,PROJECT CARES CONSOLIDATION PLAN,LOT 1 = 143.79X140.06X148.29X140.01,,51C31,PITTSBURGH URBAN,E,10 - Exempt,,,20,CORPORATION,O,OTHER,680,CHARITABLE EXEMPTION/HOS/HOMES,23237,,,,,03-08-2021,03-05-2021,1.0,GV,GOVT SALE,18355,560.0,12-21-2020,1.0,09-22-1994,1.0,611   WILLIAM PENN PL  STE 800,  ,PITTSBURGH PA  ,15219.0,4631300,143500,4774800,0,4631300,143500,4774800,4631300,143500,4774800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
719,0011K00006000000,1928.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 42X120 FIFTH AVE,,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,5040,,,,,12-10-2018,12-07-2018,450000.0,H,MULTI-PARCEL SA,17453,561.0,03-30-2006,20000.0,05-02-1978,0.0,2605  W 8TH AVE   ,  ,DENVER CO  ,80204.0,41300,7200,48500,0,41300,7200,48500,41300,7200,48500,11.0,ROW END,2.0,1920.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C,AVERAGE,3.0,AVERAGE,FR,FAIR,9.0,6.0,1.0,1.0,2,Central Heat,0.0,0.0,2944.0,1.0,,2025,01-JUN-25
741,0011J00164000B00,55.0, ,VAN BRAAM ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,GEO MILTENBERGER PLAN PTS 55- 56-57 LOT 15.58X6,0.15 IN ALL VAN BRAAM,2 STY BRK HSE 55,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,937,,,,,05-01-2003,05-01-2003,150260.0,H,MULTI-PARCEL SA,11635,505.0,08-28-1995,8010.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,15200,4800,20000,0,15200,4800,20000,15200,4800,20000,12.0,ROW INTERIOR,2.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,FR,FAIR,5.0,2.0,1.0,0.0,2,Central Heat,0.0,0.0,1088.0,1.0,,2025,01-JUN-25
742,0011J00165000000,53.0, ,VAN BRAAM ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,GEO MILTENBERGER PLAN PTS 55-56-57 LOT 14.68X60,.15 VAN BRAAM,2 STY BRK HSE 53,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,883,,,,,07-01-2005,07-01-2005,30200.0,0,VALID SALE,12502,121.0,03-11-1957,0.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,32700,4700,37400,0,32700,4700,37400,32700,4700,37400,12.0,ROW INTERIOR,3.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C-,AVERAGE -,3.0,AVERAGE,AV,AVERAGE,7.0,2.0,2.0,1.0,B,Central Heat with AC,0.0,0.0,1632.0,1.0,,2025,01-JUN-25
743,0011J00165000A00,51.0, ,VAN BRAAM ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,GEO MILTENBERGER PLAN PTS 55-56-57 LOT 14.84X60,.15 VAN BRAAM,2 STY BRK HSE 51,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,893,,,,,04-02-2024,02-29-2024,46000.0,GV,GOVT SALE,19624,355.0,07-30-1981,17000.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,15300,4800,20100,0,15300,4800,20100,15300,4800,20100,12.0,ROW INTERIOR,2.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,FR,FAIR,6.0,3.0,1.0,0.0,2,Central Heat,0.0,0.0,1088.0,1.0,,2025,01-JUN-25
765,0011J00300000000,57.0, ,MILTENBERGER ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,GEO MILTENBERGER SUB DIV PL 6 LOT 20X72 MILTENB,ERGER ST N W COR EDNA ST                       ,2 STY BRK HSE 410                              ,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,20,TWO FAMILY,1440,,,,,03-12-2021,03-05-2021,65000.0,35,CORP TRANSFER,18362,277.0,06-09-1987,0.0,,,   PO BOX 13444    ,  ,PITTSBURGH PA  ,15243.0,25500,9000,34500,0,25500,9000,34500,25500,9000,34500,13.0,MULTI-FAMILY,2.0,1910.0,2.0,Brick,4.0,ROLL,4.0,Part,D,BELOW AVERAGE,3.0,AVERAGE,AV,AVERAGE,8.0,4.0,2.0,0.0,2,Central Heat,0.0,0.0,1752.0,1.0,,2025,01-JUN-25
786,0011K00147000000,2017.0, 1/2,TUSTIN ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,MILLER PLAN PT 77 LOT 22X50 TUSTIN ST          ,1/2-2 STY BRK DWLG 2017                        ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,10,SINGLE FAMILY,1100,,,,,02-21-2013,02-21-2013,6000.0,2,CITY TREASURER,15159,192.0,05-11-2007,6332.0,11-24-1992,1.0,2017   TUSTIN ST   ,  ,PITTSBURGH PA  ,15219.0,3600,5000,8600,0,3600,5000,8600,3600,5000,8600,20.0,SEMI DETACHED,2.0,1920.0,2.0,Brick,4.0,ROLL,5.0,Full,D,BELOW AVERAGE,8.0,VERY POOR,VP,VERY POOR,5.0,2.0,1.0,0.0,2,Central Heat,0.0,0.0,1232.0,1.0,,2025,01-JUN-25
788,0011K00148000000,2019.0, ,TUSTIN ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,MILLER PLAN PT 78 LOT 22X50 TUSTIN ST          ,1/2 OF 2 STY BRK DWLG 2019                     ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,G,GOVERNMENT,640,MUNICIPAL GOVERNMENT,1100,,,,,07-08-2016,02-15-2016,3900.0,GV,GOVT SALE,16453,291.0,02-16-2010,8286.0,11-08-1996,0.0,2017   TUSTIN ST   ,  ,PITTSBURGH PA  ,15219.0,7300,5000,12300,0,7300,5000,12300,7300,5000,12300,20.0,SEMI DETACHED,2.0,1920.0,2.0,Brick,4.0,ROLL,5.0,Full,D,BELOW AVERAGE,5.0,POOR,PR,POOR,5.0,2.0,1.0,0.0,2,Central Heat,0.0,0.0,1232.0,1.0,,2025,01-JUN-25
801,0011K00030000000,2026.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ALEXANDER MILLER PLAN 26 LOT 22X120 5TH AVE    ,2 STY BRK HSE 2026                             ,,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2640,,,,,05-24-2024,04-26-2024,65000.0,14,TIME ON MARKET,19679,291.0,11-29-2017,30000.0,11-29-2010,1.0,2024   FIFTH AVE   ,  ,PITTSBURGH PA  ,15219.0,1000,29000,30000,0,1000,29000,30000,1000,29000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
802,0011K00031000000,2028.0, ,5TH AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,MILLER PLAN 27 LOT 22X120 -5TH AVE BET SENECA S,T & JUMONVILLE,3 STY BRK HSE & STO 2028,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2640,,,,,04-21-2021,04-19-2021,150000.0,35,CORP TRANSFER,18406,520.0,06-22-2018,85000.0,02-20-1975,1.0,5969   PUDDING STONE LN   ,  ,BETHEL PARK PA  ,15102.0,28000,52800,80800,0,28000,52800,80800,28000,52800,80800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,01-JUN-25
805,0011K00088000001,2035.0, ,FORBES AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ALEX MILLER PLAN 56 LOT 22X120 FORBES ST       ,3 STY BRK DWLG 2035                            ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,2640,,,,,08-27-2013,08-27-2013,160000.0,H,MULTI-PARCEL SA,15353,125.0,02-21-1969,0.0,,,121   EDGEWOOD AVE   ,  ,PITTSBURGH PA  ,15218.0,24100,7000,31100,0,24100,7000,31100,24100,7000,31100,11.0,ROW END,2.5,1910.0,2.0,Brick,4.0,ROLL,5.0,Full,D,BELOW AVERAGE,4.0,FAIR,FR,FAIR,8.0,5.0,1.0,0.0,2,Central Heat,0.0,0.0,2224.0,1.0,,2025,01-JUN-25
809,0011K00095000100,2027.0, ,FORBES AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,KATZ TOWNHOUSE PLAN 1-A LOT 13.76X64.79 FORBES ,AVE                                            ,2 STY BRK BLDG (PT HEALTH CLUB) #2027          ,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,70,ROWHOUSE,892,,,,,06-20-2018,06-15-2018,40000.0,H,MULTI-PARCEL SA,17255,280.0,12-17-2014,16000.0,09-11-2014,7100.0,6914   BUTLER ST   ,  ,PITTSBURGH PA  ,15206.0,13100,4800,17900,0,13100,4800,17900,13100,4800,17900,11.0,ROW END,2.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,D,BELOW AVERAGE,4.0,FAIR,FR,FAIR,7.0,4.0,1.0,,2,Central Heat,,,1120.0,2.0,,2025,01-JUN-25
871,0011K00159000000,2030.0, ,FORBES AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,ALEX MILLER PLAN 84 LOT 22X120 FORBES ST BET JU,MONVILLE & SENECA STS                          ,2 STY BRK HSE 2030                             ,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,10,SINGLE FAMILY,2640,,,,,03-14-2013,03-14-2013,5700.0,1,SHERIFF SALE,15177,386.0,10-26-1990,5000.0,,,4101   BROWNSVILLE RD  STE 200,  ,PITTSBURGH PA  ,15227.0,7500,2500,10000,0,7500,2500,10000,7500,2500,10000,16.0,OLD STYLE,2.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C-,AVERAGE -,3.0,AVERAGE,FR,FAIR,8.0,4.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,3062.0,1.0,,2025,01-JUN-25
883,0011K00161000000,2033.0, ,TUSTIN ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,PT 85 LOT 12.5X60 TUSTIN ST,2 STY BRK HSE 2033,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,720,,,,,02-11-2015,02-07-2015,9000.0,36,QUIT CLAIM,15881,239.0,04-21-2003,1.0,09-04-1946,0.0,   PO BOX 10277    ,  ,PITTSBURGH PA  ,15232.0,14500,4500,19000,0,14500,4500,19000,14500,4500,19000,11.0,ROW END,2.0,1910.0,2.0,Brick,4.0,ROLL,5.0,Full,D,BELOW AVERAGE,4.0,FAIR,FR,FAIR,6.0,3.0,1.0,0.0,2,Central Heat,0.0,0.0,1220.0,1.0,,2025,01-JUN-25
892,0011K00170000000,210.0, ,SENECA ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 14.66X71 SENNECA ST                        ,2 STY BRK DWLG 210                             ,,10101,BLUFF DISTRICT OF PITTSBURGH,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,70,ROWHOUSE,1041,,,,,06-18-2023,06-07-2023,49000.0,9,OTHER INVALID,19333,568.0,06-11-2014,35000.0,03-26-2010,2900.0,27   ESTHER ST   ,  ,NEWARK NJ  ,7105.0,32100,5000,37100,0,32100,5000,37100,32100,5000,37100,12.0,ROW INTERIOR,2.0,1910.0,2.0,Brick,1.0,SHINGLE,5.0,Full,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,6.0,3.0,1.0,0.0,2,Central Heat,0.0,0.0,1200.0,1.0,,2025,01-JUN-25
