PARID,Address
0010H00201000000,"613 HOLLACE ST, PITTSBURGH, PA 15219"
0010H00202000000,No primary address specified
0026R00164000000,"3510 IOWA ST, PITTSBURGH, PA 15219"
0027B00124000000,"3204 CAMP ST, PITTSBURGH, PA 15219"
0026P00171000000,No primary address specified
0026P00173000000,No primary address specified
0010H00203000000,No primary address specified
0027A00021000000,"2938 WEBSTER AVE, PITTSBURGH, PA 15219"
0027B00250000000,"811 CHEROKEE ST, PITTSBURGH, PA 15219"
0027B00251000000,"809 CHEROKEE ST, PITTSBURGH, PA 15219"
0027B00002000000,No primary address specified
0027A00126000000,"2952 WYLIE AVE, PITTSBURGH, PA 15219"
0027B00141000000,No primary address specified
0010H00220000000,"2815 WYLIE AVE, PITTSBURGH, PA 15219"
0010H00102000000,"2537 MAHON ST, PITTSBURGH, PA 15219"
0027B00285000000,"758 CHEROKEE ST, PITTSBURGH, PA 15219"
0027A00275000000,No primary address specified
0027A00352000000,"650 HERRON AVE, PITTSBURGH, PA 15219"
0027B00070000000,"770 BRYN MAWR RD, PITTSBURGH, PA 15219"
0027A00147000000,"3025 VANCROFT ST, PITTSBURGH, PA 15219"
0026P00184000000,"828 ADELAIDE ST, PITTSBURGH, PA 15219"
0026P00185000000,"830 ADELAIDE ST, PITTSBURGH, PA 15219"
0010H00236000000,"548 MORGAN ST, PITTSBURGH, PA 15219"
0027A00148000000,"3023 VANCROFT ST, PITTSBURGH, PA 15219"
0027A00151000000,"3021 VANCROFT ST, PITTSBURGH, PA 15219"
0027B00161000000,"738 ANAHEIM ST, PITTSBURGH, PA 15219"
0010L00156000000,"2405 WYLIE AVE, PITTSBURGH, PA 15219"
0027B00095000000,"3210 CAMP ST, PITTSBURGH, PA 15219"
0027B00095000A00,"3212 CAMP ST, PITTSBURGH, PA 15219"
0027A00158000000,"594 HERRON AVE, PITTSBURGH, PA 15219"
0027A00162000000,No primary address specified
0010K00052000000,"2162 WYLIE AVE, PITTSBURGH, PA 15219"
0010K00053000000,No primary address specified
0010H00249000000,"520 MORGAN ST, PITTSBURGH, PA 15219"
0010H00257000000,"2807 CENTRE AVE, PITTSBURGH, PA 15219"
0010L00026000000,"2333 CENTRE AVE, PITTSBURGH, PA 15219"
0010L00027000000,"2331 CENTRE AVE, PITTSBURGH, PA 15219"
0010H00140000000,No primary address specified
0027B00096000000,"3214 CAMP ST, PITTSBURGH, PA 15219"
0027B00097000000,"3216 CAMP ST, PITTSBURGH, PA 15219"
0010G00341000D00,No primary address specified
0010G00344000000,No primary address specified
0010G00348000000,No primary address specified
0010G00349000000,No primary address specified
0010G00358000000,"2345 WEBSTER AVE, PITTSBURGH, PA 15219"
0026P00293000000,"3400 WEBSTER AVE, PITTSBURGH, PA 15219"
0010L00032000000,"2341 CENTRE AVE, PITTSBURGH, PA 15219"
0010R00108000000,"2400 CENTRE AVE, PITTSBURGH, PA 15219"
0010R00120000200,No primary address specified
0010N00261000000,"2007 CENTRE AVE, PITTSBURGH, PA 15219"
0010P00109000000,"2164 CENTRE AVE, PITTSBURGH, PA 15219"
0010N00344000000,"403 GROVE ST, PITTSBURGH, PA 15219"
0010M00014000000,"2516 HALLETT ST, PITTSBURGH, PA 15219"
0010M00016000000,No primary address specified
0010K00022000000,"2247 HUMBER WAY, PITTSBURGH, PA 15219"
0010R00150000000,No primary address specified
0010R00151000000,No primary address specified
0010M00022000000,No primary address specified
0010M00023000000,No primary address specified
0010M00024000000,No primary address specified
0010M00025000000,No primary address specified
0010L00300000000,No primary address specified
0010K00342000000,"11 MCCLARREN ST, PITTSBURGH, PA 15219"
0025S00173000A00,"2904 WHITE ST, PITTSBURGH, PA 15219"
0010H00152000000,"556 FRANCIS ST, PITTSBURGH, PA 15219"
0010H00154000000,"566 FRANCIS ST, PITTSBURGH, PA 15219"
0010H00156000001,"2700 WYLIE AVE, PITTSBURGH, PA 15219"
0010H00159000000,No primary address specified
0010S00005000000,No primary address specified
0010K00146000000,"15 PERRY ST, PITTSBURGH, PA 15219"
0010J00062000000,"129 TRENT ST, PITTSBURGH, PA 15219"
0010K00258000000,"2224 WEBSTER AVE, PITTSBURGH, PA 15219"
0010K00267000000,"2240 WEBSTER AVE, PITTSBURGH, PA 15219"
0010H00313000000,"2836 WYLIE AVE, PITTSBURGH, PA 15219"
0010H00316000000,"2830 WYLIE AVE, PITTSBURGH, PA 15219"
0010N00307000000,No primary address specified
0010R00021000000,"2430 REED ST, PITTSBURGH, PA 15219"
0010H00324000000,No primary address specified
0010H00325000000,No primary address specified
0010R00086000000,"2331 REED ST, PITTSBURGH, PA 15219"
0010M00118000000,No primary address specified
0027E00146000000,"3011 CENTRE AVE, PITTSBURGH, PA 15219"
0026E00015000000,"327 HANCOCK ST, PITTSBURGH, PA 15219"
0025M00112000000,"3041 PULAWSKI WAY, PITTSBURGH, PA 15219"
0027B00343000000,No primary address specified
0027B00348000000,"831 SHAWNEE ST, PITTSBURGH, PA 15219"
0025R00052000000,"253 BRERETON ST, PITTSBURGH, PA 15219"
0026E00189000000,"1210 HERRON AVE, PITTSBURGH, PA 15219"
0025H00107000000,"314 HARMAR ST, PITTSBURGH, PA 15219"
0025H00108000000,"316 HARMAR ST, PITTSBURGH, PA 15219"
0025H00007000000,"3129 LIBERTY AVE, PITTSBURGH, PA 15201"
0025M00077000000,"336 DOWNING ST, PITTSBURGH, PA 15219"
0026N00116000000,"3373 WEBSTER AVE, PITTSBURGH, PA 15219"
0026N00117000000,No primary address specified
0026N00047000000,No primary address specified
0026N00171000000,"3356 MCNEIL PL, PITTSBURGH, PA 15219"
0026E00214000000,"3326 RUTHVEN ST, PITTSBURGH, PA 15219"
0026N00294000000,"3338 AJAX ST, PITTSBURGH, PA 15213"
0025S00204000000,"2905 BEDFORD AVE, PITTSBURGH, PA 15219"
0026N00059000000,"3300 WEBSTER AVE, PITTSBURGH, PA 15219"
0026N00064000000,No primary address specified
0026N00067000000,No primary address specified
0026J00257000000,"3356 RIDGWAY ST, PITTSBURGH, PA 15213"
0026J00258000000,"3354 RIDGWAY ST, PITTSBURGH, PA 15213"
0026J00265000000,No primary address specified
0026P00085000000,"804 CLARISSA ST, PITTSBURGH, PA 15219"
0026N00205000000,"3363 MONROE ST, PITTSBURGH, PA 15213"
0025S00222000000,No primary address specified
0026P00127000000,"735 CLARISSA ST, PITTSBURGH, PA 15219"
0026N00039000000,No primary address specified
0025H00180000000,"326 HANCOCK ST, PITTSBURGH, PA 15219"
0026E00164000000,"385 LINOLEUM WAY, PITTSBURGH, PA 15219"
0027B00026000000,"916 CLARISSA ST, PITTSBURGH, PA 15219"
0026P00047000000,"3396 MILWAUKEE ST, PITTSBURGH, PA 15219"
0026N00017000000,No primary address specified
0026N00124000000,"1 OLNEY ST, PITTSBURGH, PA 15219"
0026P00015000000,"769 BRYN MAWR RD, PITTSBURGH, PA 15219"
0026N00020000000,No primary address specified
0026P00022000000,"747 BRYN MAWR RD, PITTSBURGH, PA 15219"
0026K00078000000,No primary address specified
0026N00249000000,"700 HERRON AVE, PITTSBURGH, PA 15219"
0026J00307000000,No primary address specified
0026K00234000000,"3413 WEBSTER AVE, PITTSBURGH, PA 15219"
0026K00260000000,"3460 WEBSTER AVE, PITTSBURGH, PA 15219"
0026K00263000000,"3460 WEBSTER AVE, PITTSBURGH, PA 15219"
0026N00095000000,"3374 WEBSTER AVE, PITTSBURGH, PA 15219"
0026N00163000000,"3330 MCNEIL PL, PITTSBURGH, PA 15219"
0026P00110000000,"807 CLARISSA ST, PITTSBURGH, PA 15219"
0049J00006000000,"170 37TH ST, PITTSBURGH, PA 15201"
0026J00075000000,No primary address specified
0027C00012000000,"919 CLARISSA ST, PITTSBURGH, PA 15219"
0049J00191000B00,"246 ATER WAY, PITTSBURGH, PA 15201"
0049J00282000000,No primary address specified
0027B00392000000,"826 SHAWNEE ST, PITTSBURGH, PA 15219"
0027B00393000000,"828 SHAWNEE ST, PITTSBURGH, PA 15219"
0027K00017000000,"3151 BRACKENRIDGE ST, PITTSBURGH, PA 15219"
0049P00352000000,"3917 LIBERTY AVE, PITTSBURGH, PA 15224"
0049P00358000000,"3903 LIBERTY AVE, PITTSBURGH, PA 15224"
0051M00296000000,"550 S NEGLEY AVE, PITTSBURGH, PA 15232"
0026D00332000000,"337 CEDARVILLE ST, PITTSBURGH, PA 15224"
0051E00124000000,"801 GROSS ST, PITTSBURGH, PA 15224"
0051E00149000000,"632 S MILLVALE AVE, PITTSBURGH, PA 15224"
0026H00308000000,"4701 LORIGAN ST, PITTSBURGH, PA 15224"
0026D00077000000,"452 TAYLOR ST, PITTSBURGH, PA 15224"
0050N00135000000,"252 EDMOND ST, PITTSBURGH, PA 15224"
0026D00010000000,No primary address specified
0026H00139000000,No primary address specified
0026H00222000000,"447 CEDARVILLE ST, PITTSBURGH, PA 15224"
0051F00202000000,"416 S WINEBIDDLE ST, PITTSBURGH, PA 15224"
0051F00204000000,"414 S WINEBIDDLE ST, PITTSBURGH, PA 15224"
0051H00139000000,"5620 BAUM BLVD, PITTSBURGH, PA 15232"
0051J00229000000,"4932 YEW ST, PITTSBURGH, PA 15224"
0049B00018000000,"186 44TH ST, PITTSBURGH, PA 15201"
0049B00019000000,"188 44TH ST, PITTSBURGH, PA 15201"
0049A00153000A00,"129 BANNER WAY, PITTSBURGH, PA 15201"
0049M00180000000,"4309 MILGATE ST, PITTSBURGH, PA 15224"
0080K00265000001,"4749 PLUMMER ST, PITTSBURGH, PA 15201"
0049B00169000000,"4125 BUTLER ST, PITTSBURGH, PA 15201"
0080G00022000A00,"4912 PLUM WAY, PITTSBURGH, PA 15201"
0049G00263000000,"4415 GARWOOD WAY, PITTSBURGH, PA 15201"
0049L00265000000,"4035 GARDEN WAY, PITTSBURGH, PA 15201"
0050C00031000000,"5165 SCHENLEY AVE, PITTSBURGH, PA 15224"
0050K00035000000,No primary address specified
0050B00197000000,No primary address specified
0050C00047000A00,No primary address specified
0050E00021000000,"424 N MATHILDA ST, PITTSBURGH, PA 15224"
0050F00074000000,"417 N MILLVALE AVE, PITTSBURGH, PA 15224"
0050K00332000000,"5009 PENN AVE, PITTSBURGH, PA 15224"
0050B00228000000,No primary address specified
0050F00044000000,"4931 KINCAID ST, PITTSBURGH, PA 15224"
0050F00130000000,"5120 ROSETTA ST, PITTSBURGH, PA 15224"
0050F00101000000,"4938 ROSETTA ST, PITTSBURGH, PA 15224"
0050K00321000000,"4921 PENN AVE, PITTSBURGH, PA 15224"
0050J00038000000,"4807 DEARBORN ST, PITTSBURGH, PA 15224"
0050B00172000000,"4811 COLUMBO ST, PITTSBURGH, PA 15224"
0050H00018000000,"5318 HILLCREST ST, PITTSBURGH, PA 15224"
0050H00290000000,No primary address specified
0049M00189000000,"4410 WOOLSLAYER WAY, PITTSBURGH, PA 15224"
0049L00382000000,No primary address specified
0049L00383000000,"4116 MAIN ST, PITTSBURGH, PA 15224"
0050G00236000000,"5155 HILLCREST ST, PITTSBURGH, PA 15224"
0050K00084000000,"4911 BROAD ST, PITTSBURGH, PA 15224"
0050G00302000000,No primary address specified
0049R00283000000,"4073 LIBERTY AVE, PITTSBURGH, PA 15224"
0050K00102000000,"5017 BROAD ST, PITTSBURGH, PA 15224"
0050L00034000C00,"5310 BROWN WAY, PITTSBURGH, PA 15224"
0050L00050000000,"5215 KINCAID ST, PITTSBURGH, PA 15224"
0081F00212000000,"1101 WOODBINE ST, PITTSBURGH, PA 15201"
0050M00078000000,"5349 BROAD ST, PITTSBURGH, PA 15224"
0050L00156000000,"5217 BROAD ST, PITTSBURGH, PA 15224"
0050M00025000000,"5362 ROSETTA ST, PITTSBURGH, PA 15224"
0050L00025000C00,"5311 BROWN WAY, PITTSBURGH, PA 15224"
0080D00115000000,"5238 CARNEGIE ST, PITTSBURGH, PA 15201"
0081E00120000000,"5400 CAMELIA ST, PITTSBURGH, PA 15201"
0050L00109000000,"5229 JORDAN WAY, PITTSBURGH, PA 15224"
0050L00025000D00,"5313 BROWN WAY, PITTSBURGH, PA 15224"
0050L00110000000,"321 N ATLANTIC AVE, PITTSBURGH, PA 15224"
0050L00179000A00,"5137 BROAD ST, PITTSBURGH, PA 15224"
0080G00201000000,"5116 DRESDEN WAY, PITTSBURGH, PA 15201"
0050M00008000000,"305 N AIKEN AVE, PITTSBURGH, PA 15206"
0080H00098000000,"5105 HOLMES ST, PITTSBURGH, PA 15201"
0080G00212000A00,"5140 DRESDEN WAY, PITTSBURGH, PA 15201"
0050M00016000A00,"5337 BROWN WAY, PITTSBURGH, PA 15224"
0050M00017000A00,"5339 BROWN WAY, PITTSBURGH, PA 15224"
0050M00018000000,No primary address specified
0050D00039000000,No primary address specified
0050D00043000000,No primary address specified
0080H00166000000,"5208 LOTUS WAY, PITTSBURGH, PA 15201"
0050L00167000000,No primary address specified
0050E00014000000,No primary address specified
0080H00078000A00,"5148 KENT WAY, PITTSBURGH, PA 15201"
0120J00205000000,"5645 CARNEGIE ST, PITTSBURGH, PA 15201"
0081S00156000000,"247 SCHENLEY MANOR DR, PITTSBURGH, PA 15201"
0120G00090000000,No primary address specified
0082J00078000000,"928 MORNINGSIDE AVE, PITTSBURGH, PA 15206"
0082J00300000000,"918 HIGHVIEW ST, PITTSBURGH, PA 15206"
0120K00200000000,"6004 SAWYER ST, PITTSBURGH, PA 15201"
0081C00067000000,"4602 STANTON AVE, PITTSBURGH, PA 15201"
0081A00131000000,"629 54TH ST, PITTSBURGH, PA 15201"
0081A00132000000,No primary address specified
0081B00070000000,"5538 CAMELIA ST, PITTSBURGH, PA 15201"
0081B00079000000,"5552 CAMELIA ST, PITTSBURGH, PA 15201"
0081A00206000000,"614 KENDALL ST, PITTSBURGH, PA 15201"
0081E00049000000,No primary address specified
0081A00269000000,"5410 CELADINE ST, PITTSBURGH, PA 15201"
0120P00137000000,"232 57TH ST, PITTSBURGH, PA 15201"
0120P00152000000,"262 57TH ST, PITTSBURGH, PA 15201"
0050M00199000000,"5413 ROSETTA ST, PITTSBURGH, PA 15206"
0050M00207000000,"5438 HILLCREST ST, PITTSBURGH, PA 15206"
0050M00163000000,"214 N AIKEN AVE, PITTSBURGH, PA 15206"
0050M00303000000,"5470 BROAD ST, PITTSBURGH, PA 15206"
0050M00305000000,"5466 BROAD ST, PITTSBURGH, PA 15206"
0050M00310000000,"5452 BROAD ST, PITTSBURGH, PA 15206"
0121B00032000000,"6728 BUTLER ST, PITTSBURGH, PA 15206"
0121F00146000000,"6640 MARIETTA ST, PITTSBURGH, PA 15206"
0121G00058000000,No primary address specified
0121E00043000000,"6613 BAKER ST, PITTSBURGH, PA 15206"
0082R00061000000,"936 MELLON ST, PITTSBURGH, PA 15206"
0083B00378000000,"810 PORTLAND ST, PITTSBURGH, PA 15206"
0082R00120000000,"5818 WELLESLEY AVE, PITTSBURGH, PA 15206"
0121K00041000000,"1711 MORNINGSIDE AVE, PITTSBURGH, PA 15206"
0050H00118000000,No primary address specified
0050M00264000000,"5452 KINCAID ST, PITTSBURGH, PA 15206"
0121K00309000000,No primary address specified
0050M00242000000,No primary address specified
0083G00130000000,"727 N BEATTY ST, PITTSBURGH, PA 15206"
0083E00261000000,"5456 COLUMBO ST, PITTSBURGH, PA 15206"
0083F00178000000,"621 MELLON ST, PITTSBURGH, PA 15206"
0124G00107000000,No primary address specified
0124F00081000000,"655 LENORA ST, PITTSBURGH, PA 15206"
0083F00004000000,"429 N NEGLEY AVE, PITTSBURGH, PA 15206"
0083E00072000000,"5514 BLACK ST, PITTSBURGH, PA 15206"
0083F00219000000,No primary address specified
0083G00028000000,"621 N EUCLID AVE, PITTSBURGH, PA 15206"
0083E00215000000,"438 N FAIRMOUNT ST, PITTSBURGH, PA 15206"
0083E00007000000,No primary address specified
0083E00098000000,"534 N FAIRMOUNT ST, PITTSBURGH, PA 15206"
0083J00053000000,No primary address specified
0083J00054000000,No primary address specified
0083K00288000000,No primary address specified
0083J00025000000,"305 N FAIRMOUNT ST, PITTSBURGH, PA 15206"
0082P00283000000,No primary address specified
0082P00298000000,"5630 JACKSON ST, PITTSBURGH, PA 15206"
0083H00092000000,"6216 SAINT MARIE ST, PITTSBURGH, PA 15206"
0124N00066000000,No primary address specified
0124M00392000000,No primary address specified
0124M00314000000,"6652 HEDGE ST, PITTSBURGH, PA 15206"
0124P00288000000,"6504 WINSLOW ST, PITTSBURGH, PA 15206"
0124M00317000000,"6646 HEDGE ST, PITTSBURGH, PA 15206"
0124P00266000000,No primary address specified
0124M00406000000,"1305 OLIVANT ST, PITTSBURGH, PA 15206"
0124N00001000000,"134 AUBURN ST, PITTSBURGH, PA 15206"
0124N00006000000,"146 AUBURN ST, PITTSBURGH, PA 15206"
0124M00195000000,"6609 APPLE ST, PITTSBURGH, PA 15206"
0124P00108000000,No primary address specified
0124P00336000000,"6529 SHETLAND ST, PITTSBURGH, PA 15206"
0124N00085000000,"159 MAYFLOWER ST, PITTSBURGH, PA 15206"
0124H00135000000,No primary address specified
0124R00089000000,"313 RENFREW ST, PITTSBURGH, PA 15206"
0124N00016000000,"159 AUBURN ST, PITTSBURGH, PA 15206"
0124N00392000000,"504 PAULSON AVE, PITTSBURGH, PA 15206"
0124P00271000000,"6506 SHETLAND ST, PITTSBURGH, PA 15206"
0124N00303000000,No primary address specified
0124N00304000000,"133 MEADOW ST, PITTSBURGH, PA 15206"
0124M00351000100,No primary address specified
0124M00292000000,"1215 ARBOR ST, PITTSBURGH, PA 15206"
